id_codedep_codecommune,Code_postal,Id_bien,Surface_carrez,Type_local,Total_piece
92025,92700,245,38.05,Appartement,2
92025,92700,246,32.02,Appartement,2
92026,92400,247,94.32,Appartement,4
92048,92360,248,61.97,Appartement,3
92050,92000,249,61.93,Appartement,3
92063,92500,250,25.16,Appartement,1
92063,92500,251,46.75,Appartement,2
92063,92500,252,48.5,Appartement,2
92075,92170,253,44.17,Appartement,2
93001,93300,254,35,Appartement,2
93006,93170,255,30.45,Appartement,2
93010,93140,256,70.56,Appartement,3
93048,93100,257,102.46,Appartement,6
94016,94230,258,21.13,Appartement,1
94022,94600,259,41.57,Appartement,2
94033,94120,260,29.07,Appartement,1
94041,94200,261,68.02,Appartement,3
94042,94340,262,73.81,Appartement,3
94052,94130,263,50.08,Appartement,2
94068,94210,264,61.93,Appartement,3
94071,94370,265,34.2,Appartement,2
94076,94800,266,39.39,Appartement,2
94079,94350,267,84.23,Appartement,4
94080,94300,268,50.6,Appartement,3
94080,94300,269,25.14,Appartement,1
95203,95600,270,64,Appartement,3
95218,95610,271,45.04,Appartement,2
95218,95610,272,56.86,Appartement,3
95500,95300,273,77.71,Appartement,4
95572,95310,274,61.05,Appartement,3
04209,4200,275,105.71,Appartement,4
14079,14910,276,30.09,Appartement,2
14754,14640,277,30.38,Appartement,2
54395,54000,278,47.04,Appartement,2
74256,74700,279,63.14,Appartement,3
77014,77210,280,45.61,Appartement,2
80021,80000,281,34.99,Appartement,1
82112,82200,282,67.19,Appartement,4
91223,91150,283,31.49,Appartement,1
01160,1210,284,82.59,Appartement,3
01288,1630,285,109.22,Maison,5
04070,4000,286,144.6,Appartement,4
06029,6400,287,31.21,Appartement,2
06032,6320,288,24.58,Appartement,1
06079,6210,289,36.6,Appartement,2
06083,6500,290,29,Appartement,1
06083,6500,291,54.34,Appartement,2
06088,6000,292,32.83,Appartement,2
06088,6000,293,133.44,Appartement,4
10325,10430,294,63.58,Appartement,3
10343,10800,295,50.75,Appartement,3
10362,10300,296,47.88,Appartement,2
10362,10300,297,68.03,Appartement,3
11170,11430,298,23.89,Appartement,3
11170,11430,299,22.15,Appartement,2
13005,13400,300,82.72,Appartement,5
13022,13260,301,36.8,Appartement,3
13028,13600,302,29.29,Appartement,1
13028,13600,303,115.53,Appartement,4
13101,13119,304,92.99,Maison,3
13205,13005,305,64.45,Appartement,3
13207,13007,306,24.89,Appartement,3
13207,13007,307,22.71,Appartement,1
13208,13008,308,85.37,Appartement,4
13209,13009,309,31.28,Appartement,1
13210,13010,310,112.09,Appartement,5
14220,14800,311,41.78,Appartement,2
14754,14640,312,47.05,Appartement,2
18033,18000,313,77.87,Appartement,3
19031,19100,314,70.19,Appartement,3
22278,22000,315,168.7,Appartement,4
2A362,20144,316,32.16,Maison,2
30106,30170,317,82.11,Maison,4
30189,30000,318,36.29,Appartement,1
30189,30900,319,65.24,Appartement,3
31203,31270,320,36.46,Appartement,2
31555,31200,321,60.16,Appartement,3
33039,33130,322,56.67,Appartement,3
33039,33130,323,50.16,Appartement,2
33063,33000,324,26.39,Appartement,1
33514,33780,325,35.8,Appartement,2
